# PVGIS hourly irradiance reference data for validating DiGi.Solar irradiance calculations.
#
# Source:   European Commission Joint Research Centre, Photovoltaic Geographical Information System
#           (PVGIS) v5.2, https://re.jrc.ec.europa.eu/pvg_tools/en/
# API:      https://re.jrc.ec.europa.eu/api/v5_2/seriescalc
# Retrieved: 2026-09-10
# Database: PVGIS-SARAH2
# Location: Poznan, Poland - latitude 52.4064, longitude 16.9252, elevation 81 m
# Period:   2020, the 5th and 20th of each month, daylight hours with GHI >= 50 W/m2
# Planes:   horizontal (slope 0), and slope 35 deg azimuth 0 (south facing)
# Timestamps are UTC. PVGIS uses :11 past the hour as the satellite observation time.
# Irradiance values are W/m2 and are reported by PVGIS rounded to whole numbers.
#
# PVGIS computes the ground-reflected component with the same isotropic formula as DiGi.Solar
# (GHI * albedo * (1 - cos(tilt)) / 2, albedo 0.2), so those columns must agree closely.
# It computes the sky diffuse component with an anisotropic model (Muneer), so that column is
# expected to exceed the isotropic value - it is compared as a reported difference, not a bound.
#
# time,sunElevationDegrees,beamHorizontal,diffuseHorizontal,beamTilted35,diffuseTilted35,groundTilted35
20200105:0811,6.68,58.0,32.0,271.1,73.1,1.6
20200105:0911,11.46,120.0,54.0,406.1,109.0,3.1
20200105:1011,14.29,182.0,52.0,551.3,107.7,4.2
20200105:1111,14.92,182.0,61.0,540.4,121.8,4.4
20200105:1211,13.27,173.0,44.0,543.0,94.8,3.9
20200105:1311,9.52,86.0,49.0,322.5,98.1,2.4
20200120:0811,8.40,6.0,56.0,22.7,55.8,1.1
20200120:0911,13.47,33.0,106.0,97.5,119.7,2.5
20200120:1011,16.58,18.0,129.0,48.6,128.4,2.7
20200120:1111,17.44,57.0,141.0,150.7,163.9,3.6
20200120:1211,15.96,187.0,68.0,512.5,125.6,4.6
20200120:1311,12.30,130.0,56.0,400.8,106.5,3.4
20200120:1411,6.77,62.0,29.0,267.1,64.5,1.6
20200205:0711,4.94,34.0,17.3,155.1,38.6,1.1
20200205:0811,11.87,148.0,40.0,417.2,77.7,3.4
20200205:0911,17.24,249.0,46.0,606.3,86.4,5.3
20200205:1011,20.62,315.0,47.0,723.6,86.9,6.5
20200205:1111,21.65,22.0,170.0,49.8,165.4,3.5
20200205:1211,20.24,229.0,97.0,529.0,157.5,5.9
20200205:1311,16.53,208.0,62.0,514.1,110.2,4.9
20200205:1411,10.88,130.0,38.0,381.1,74.3,3.0
20200220:0711,9.18,26.0,66.0,69.7,74.8,1.7
20200220:0811,16.36,116.0,109.0,254.8,144.8,4.1
20200220:0911,21.99,337.0,49.0,687.5,83.0,7.0
20200220:1011,25.56,326.0,103.0,644.5,158.9,7.8
20200220:1111,26.66,364.0,93.0,713.9,146.6,8.3
20200220:1211,25.17,287.0,121.0,569.1,179.4,7.4
20200220:1311,21.26,194.0,127.0,398.8,177.3,5.8
20200220:1411,15.37,211.0,44.0,471.9,75.8,4.6
20200220:1511,8.00,68.0,39.0,193.5,63.6,1.9
20200305:0711,13.57,72.0,99.0,143.0,116.7,3.1
20200305:0811,20.94,71.0,170.0,130.7,180.8,4.4
20200305:0911,26.76,279.0,144.0,497.8,194.8,7.7
20200305:1011,30.44,247.0,202.0,434.7,253.2,8.1
20200305:1111,31.53,127.0,259.0,222.7,280.2,7.0
20200305:1211,29.85,143.0,239.0,252.1,266.5,6.9
20200305:1311,25.66,269.0,137.0,482.3,185.9,7.3
20200305:1411,19.46,95.0,150.0,176.9,170.1,4.4
20200305:1511,11.82,113.0,60.0,231.4,84.7,3.1
20200320:0611,10.52,4.0,66.0,6.3,60.9,1.3
20200320:0711,19.08,11.0,136.0,17.3,126.3,2.7
20200320:0811,26.65,38.0,214.0,59.6,205.2,4.6
20200320:0911,32.66,3.0,198.0,4.7,180.6,3.6
20200320:1011,36.43,1.0,201.0,1.6,182.9,3.6
20200320:1111,37.39,151.0,299.0,236.8,315.1,8.1
20200320:1211,35.40,0.0,174.0,0.0,158.2,3.1
20200320:1311,30.78,0.0,90.0,0.0,81.8,1.6
20200320:1411,24.14,0.0,70.0,0.0,63.6,1.3
20200405:0511,7.18,54.0,38.0,41.4,34.5,1.7
20200405:0611,16.28,191.0,67.0,230.8,74.6,4.7
20200405:0711,24.97,334.0,86.0,443.6,104.0,7.6
20200405:0811,32.75,448.0,108.0,618.2,135.1,10.1
20200405:0911,38.95,570.0,101.0,801.2,130.7,12.1
20200405:1011,42.78,588.0,131.0,833.4,168.6,13.0
20200405:1111,43.57,599.0,132.0,850.3,170.3,13.2
20200405:1211,41.14,595.0,108.0,840.5,140.1,12.7
20200405:1311,35.99,500.0,112.0,697.3,142.0,11.1
20200405:1411,28.88,388.0,99.0,526.8,121.8,8.8
20200405:1511,20.55,255.0,80.0,326.5,93.0,6.1
20200405:1611,11.59,113.0,56.0,120.7,57.4,3.1
20200420:0511,12.09,110.0,62.0,73.3,53.6,3.1
20200420:0611,21.21,251.0,89.0,262.2,92.1,6.2
20200420:0711,30.02,390.0,109.0,463.5,122.8,9.0
20200420:0811,37.99,510.0,125.0,642.0,147.5,11.5
20200420:0911,44.40,606.0,131.0,785.1,158.8,13.3
20200420:1011,48.32,661.0,134.0,867.6,164.6,14.4
20200420:1111,48.93,682.0,126.0,896.7,155.6,14.6
20200420:1211,46.09,677.0,101.0,882.3,124.8,14.1
20200420:1311,40.44,567.0,114.0,722.6,136.9,12.3
20200420:1411,32.92,445.0,107.0,542.1,123.4,10.0
20200420:1511,24.33,312.0,89.0,345.7,95.9,7.2
20200420:1611,15.26,162.0,69.0,137.7,64.6,4.2
20200420:1711,6.16,42.0,32.0,0.0,27.4,0.6
20200505:0411,7.19,39.0,44.0,0.0,37.7,0.8
20200505:0511,16.14,176.0,70.0,108.6,57.8,4.5
20200505:0611,25.27,311.0,99.0,294.6,97.7,7.4
20200505:0711,34.19,308.0,199.0,337.4,206.1,9.2
20200505:0811,42.36,428.0,214.0,502.2,232.9,11.6
20200505:0911,49.01,290.0,341.0,352.4,353.2,11.4
20200505:1011,53.08,1.0,261.0,1.2,237.4,4.7
20200505:1111,53.59,158.0,411.0,195.4,402.1,10.3
20200505:1211,50.40,243.0,369.0,297.1,374.8,11.1
20200505:1311,44.32,74.0,349.0,87.9,329.0,7.7
20200505:1411,36.47,4.0,219.0,4.5,199.5,4.0
20200505:1511,27.70,134.0,212.0,133.7,203.2,6.3
20200505:1611,18.58,3.0,111.0,2.2,100.9,2.1
20200505:1711,9.54,8.0,62.0,0.0,53.1,1.1
20200520:0411,10.18,81.0,53.0,0.0,45.4,1.0
20200520:0511,19.04,210.0,81.0,121.7,65.2,5.3
20200520:0611,28.17,366.0,92.0,323.4,87.5,8.3
20200520:0711,37.17,491.0,114.0,506.9,118.7,10.9
20200520:0811,45.52,617.0,120.0,687.2,131.7,13.3
20200520:0911,52.44,698.0,131.0,808.9,147.9,15.0
20200520:1011,56.75,778.0,114.0,918.0,131.2,16.1
20200520:1111,57.29,688.0,177.0,813.4,200.6,15.6
20200520:1211,53.86,511.0,257.0,596.0,279.0,13.9
20200520:1311,47.49,212.0,350.0,239.2,345.4,10.2
20200520:1411,39.42,287.0,253.0,303.7,254.1,9.8
20200520:1511,30.53,69.0,242.0,64.3,224.2,5.6
20200520:1611,21.40,114.0,153.0,77.9,136.1,4.8
20200520:1711,12.43,23.0,90.0,1.6,76.8,2.0
20200605:0711,38.88,1.0,196.0,1.0,178.2,3.6
20200605:0811,47.39,0.0,203.0,0.0,184.5,3.7
20200605:0911,54.57,4.0,296.0,4.5,269.5,5.4
20200605:1011,59.18,3.0,306.0,3.4,278.5,5.6
20200605:1111,59.88,0.0,180.0,0.0,163.6,3.3
20200605:1211,56.40,0.0,142.0,0.0,129.1,2.6
20200605:1311,49.89,0.0,68.0,0.0,61.8,1.2
20200605:1411,41.70,6.0,247.0,6.1,225.0,4.6
20200605:1511,32.76,248.0,197.0,222.7,187.2,8.1
20200605:1611,23.63,72.0,178.0,47.9,159.5,4.5
20200605:1711,14.70,51.0,104.0,7.3,84.8,2.8
20200620:0611,30.04,0.0,62.0,0.0,56.4,1.1
20200620:0711,39.12,2.0,211.0,1.9,191.9,3.9
20200620:0811,47.71,7.0,274.0,7.4,249.7,5.1
20200620:0911,55.05,6.0,303.0,6.7,276.0,5.6
20200620:1011,59.91,34.0,384.0,38.5,353.3,7.6
20200620:1111,60.84,76.0,418.0,86.3,390.3,8.9
20200620:1211,57.49,0.0,149.0,0.0,135.4,2.7
20200620:1311,51.01,0.0,118.0,0.0,107.3,2.1
20200620:1411,42.83,0.0,88.0,0.0,80.0,1.6
20200620:1511,33.88,0.0,52.0,0.0,47.3,0.9
20200620:1611,24.75,3.0,140.0,2.0,127.2,2.6
20200620:1811,7.45,11.0,46.0,0.0,39.4,0.8
20200705:0511,20.02,48.0,146.0,24.0,128.7,3.5
20200705:0611,29.10,40.0,215.0,32.6,196.2,4.6
20200705:0711,38.19,186.0,266.0,181.3,254.4,8.2
20200705:0811,46.79,415.0,229.0,441.7,235.4,11.7
20200705:0911,54.17,182.0,383.0,202.9,371.0,10.2
20200705:1011,59.13,501.0,272.0,571.0,289.4,14.0
20200705:1111,60.26,40.0,393.0,45.8,362.5,7.8
20200705:1211,57.14,23.0,360.0,26.0,330.0,6.9
20200705:1311,50.85,187.0,360.0,204.6,348.9,9.9
20200705:1411,42.76,33.0,300.0,33.9,275.7,6.0
20200705:1511,33.85,389.0,122.0,354.1,117.9,9.2
20200705:1611,24.72,177.0,147.0,122.7,129.8,5.9
20200705:1711,15.77,141.0,74.0,31.5,51.0,3.9
20200705:1811,7.33,24.0,46.0,0.0,39.4,0.8
20200720:0611,27.23,0.0,72.0,0.0,65.5,1.3
20200720:0711,36.29,17.0,243.0,17.1,222.2,4.7
20200720:0811,44.83,353.0,246.0,385.8,252.6,10.8
20200720:0911,52.10,8.0,300.0,9.2,273.6,5.6
20200720:1011,56.98,431.0,298.0,503.4,315.5,13.2
20200720:1111,58.19,0.0,156.0,0.0,141.8,2.8
20200720:1211,55.32,0.0,110.0,0.0,100.0,2.0
20200720:1311,49.27,8.0,290.0,9.0,264.5,5.4
20200720:1411,41.36,68.0,309.0,72.2,288.1,6.8
20200720:1511,32.54,51.0,243.0,48.3,224.1,5.3
20200720:1611,23.41,0.0,52.0,0.0,47.3,0.9
20200720:1711,14.40,71.0,94.0,16.2,74.5,3.0
20200805:0411,6.47,24.0,38.0,0.0,32.5,0.7
20200805:0511,15.34,90.0,98.0,47.1,82.9,3.4
20200805:0611,24.46,244.0,118.0,219.5,113.0,6.5
20200805:0711,33.46,382.0,135.0,406.8,141.3,9.3
