Reference	Floor area	Total area	Storeys	Azimuth	Cardinal direction	Internal Point X	Internal Point Y	BoundingBox X	BoundingBox Y	BoundingBox width	BoundingBox height	Isoperimetric ratio	Rectangular thinnes ratio	Square thinness ratio	Thinness ratio	Convex hull thinness ratio	Calculated Building Shape	Building general function	Building specific functions	Building Phase	Is residential	Is occupied	Voivodeship name	County name	County Id	Municipality name	Subdivision name	Subdivision Id	Settlement type	Subdivision occupancy	Calculated occupancy	Grid cell coverage [0,0]	Grid cell coverage [0,1]	Grid cell coverage [0,2]	Grid cell coverage [0,3]	Grid cell coverage [0,4]	Grid cell coverage [1,0]	Grid cell coverage [1,1]	Grid cell coverage [1,2]	Grid cell coverage [1,3]	Grid cell coverage [1,4]	Grid cell coverage [2,0]	Grid cell coverage [2,1]	Grid cell coverage [2,2]	Grid cell coverage [2,3]	Grid cell coverage [2,4]	Grid cell coverage [3,0]	Grid cell coverage [3,1]	Grid cell coverage [3,2]	Grid cell coverage [3,3]	Grid cell coverage [3,4]	Grid cell coverage [4,0]	Grid cell coverage [4,1]	Grid cell coverage [4,2]	Grid cell coverage [4,3]	Grid cell coverage [4,4]	Prediction Confidence 2008	Prediction BoundingBox X 2008	Prediction BoundingBox Y 2008	Prediction BoundingBox Width 2008	Prediction BoundingBox Height 2008	Prediction Confidence 2009	Prediction BoundingBox X 2009	Prediction BoundingBox Y 2009	Prediction BoundingBox Width 2009	Prediction BoundingBox Height 2009	Prediction Confidence 2010	Prediction BoundingBox X 2010	Prediction BoundingBox Y 2010	Prediction BoundingBox Width 2010	Prediction BoundingBox Height 2010	Prediction Confidence 2011	Prediction BoundingBox X 2011	Prediction BoundingBox Y 2011	Prediction BoundingBox Width 2011	Prediction BoundingBox Height 2011	Prediction Confidence 2012	Prediction BoundingBox X 2012	Prediction BoundingBox Y 2012	Prediction BoundingBox Width 2012	Prediction BoundingBox Height 2012	Prediction Confidence 2013	Prediction BoundingBox X 2013	Prediction BoundingBox Y 2013	Prediction BoundingBox Width 2013	Prediction BoundingBox Height 2013	Prediction Confidence 2014	Prediction BoundingBox X 2014	Prediction BoundingBox Y 2014	Prediction BoundingBox Width 2014	Prediction BoundingBox Height 2014	Prediction Confidence 2015	Prediction BoundingBox X 2015	Prediction BoundingBox Y 2015	Prediction BoundingBox Width 2015	Prediction BoundingBox Height 2015	Prediction Confidence 2016	Prediction BoundingBox X 2016	Prediction BoundingBox Y 2016	Prediction BoundingBox Width 2016	Prediction BoundingBox Height 2016	Prediction Confidence 2017	Prediction BoundingBox X 2017	Prediction BoundingBox Y 2017	Prediction BoundingBox Width 2017	Prediction BoundingBox Height 2017	Prediction Confidence 2018	Prediction BoundingBox X 2018	Prediction BoundingBox Y 2018	Prediction BoundingBox Width 2018	Prediction BoundingBox Height 2018	Prediction Confidence 2019	Prediction BoundingBox X 2019	Prediction BoundingBox Y 2019	Prediction BoundingBox Width 2019	Prediction BoundingBox Height 2019	Prediction Confidence 2020	Prediction BoundingBox X 2020	Prediction BoundingBox Y 2020	Prediction BoundingBox Width 2020	Prediction BoundingBox Height 2020	Prediction Confidence 2021	Prediction BoundingBox X 2021	Prediction BoundingBox Y 2021	Prediction BoundingBox Width 2021	Prediction BoundingBox Height 2021	Prediction Confidence 2022	Prediction BoundingBox X 2022	Prediction BoundingBox Y 2022	Prediction BoundingBox Width 2022	Prediction BoundingBox Height 2022	Prediction Confidence 2023	Prediction BoundingBox X 2023	Prediction BoundingBox Y 2023	Prediction BoundingBox Width 2023	Prediction BoundingBox Height 2023	Prediction Confidence 2024	Prediction BoundingBox X 2024	Prediction BoundingBox Y 2024	Prediction BoundingBox Width 2024	Prediction BoundingBox Height 2024	Prediction Confidence 2025	Prediction BoundingBox X 2025	Prediction BoundingBox Y 2025	Prediction BoundingBox Width 2025	Prediction BoundingBox Height 2025	Municipality population 2008	Municipality population 2009	Municipality population 2010	Municipality population 2011	Municipality population 2012	Municipality population 2013	Municipality population 2014	Municipality population 2015	Municipality population 2016	Municipality population 2017	Municipality population 2018	Municipality population 2019	Municipality population 2020	Municipality population 2021	Municipality population 2022	Municipality population 2023	Municipality population 2024	Municipality population 2025	Radial Building Coverage Ratio 200m	Radial Floor Area Ratio 200m	Radial Building Coverage Ratio 400m	Radial Floor Area Ratio 400m	Radial Building Coverage Ratio 600m	Radial Floor Area Ratio 600m	Radial Building Coverage Ratio 1000m	Radial Floor Area Ratio 1000m	Year built
2BE0D403-7595-6A3E-E053-CA2BA8C0618D	97.59248	195.18497	2	253.62842	West	186764.8777061355	681603.7125612699	186764.81	681603.78	12.059999999997672	12.239999999990689	0.69584006	0.8871165	0.7627573	0.69584006	0.94228894	T	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	3	0.9903932	0.99742717	0.99965507	1	1	0.9941399	1	1	0.9999984	1	0.9911318	1	1	0.9999984	1	0.9881289	1	0.9999984	0.9999984	1	0.98507226	1	0.9999984	1	1	0.8492059707641602	165.3217315673828	163.98013305664062	214.89633178710935	218.68072509765625	0	0	0	0	0	0	0	0	0	0	0.8660353422164917	151.12655639648438	158.15284729003906	214.33612060546875	214.46792602539065	0.8767722845077515	168.24572372436523	163.32529067993164	214.67493438720703	220.44414520263672	0	0	0	0	0	0.8548691868782043	155.7438507080078	164.55406188964844	216.55874633789065	220.70504760742188	0	0	0	0	0	0	0	0	0	0	0.8711086511611938	150.64280700683594	161.2067909240723	209.74319458007812	214.78624725341797	0	0	0	0	0	0.8662235736846924	161.88787841796875	162.9864044189453	210.1572265625	212.92282104492188	0.8735809326171875	156.67015075683594	164.1111717224121	213.6102600097656	217.46601104736328	0.866779625415802	162.22877502441406	160.57432556152344	214.18490600585935	207.44906616210935	0.8725013136863708	152.57604598999023	157.1328125	209.97034454345703	220.0640869140625	0.8589280247688293	156.90696716308594	164.8293800354004	207.26870727539065	219.60778045654297	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.21328524	0.46137968	0.15845887	0.4753106	0.13253032	0.3875696	0.10528461	0.32890698	2008
2BE0D403-7596-6A3E-E053-CA2BA8C0618D	218.9673	656.9019	3	163.27243	South	186740.4856628308	681671.26749718	186740.36	681671.71	22	16.619999999995343	0.602788	0.8162724	0.5166477	0.602788	0.90015167	L	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	11	0.69114995	0.6860263	0.6598328	0.6377874	0.6337118	0.99794656	0.99729955	0.98907727	0.98309964	0.98309964	0.9965643	1	1	0.99999934	0.99999934	0.99518	1	1	1	0.99999934	0.99379706	1	1	1	0.9999986	0.8717761635780334	162.18455505371094	165.52687072753906	243.60275268554688	196.5633850097656	0	0	0	0	0	0	0	0	0	0	0.8748149275779724	158.0077781677246	157.87839126586914	244.59662628173828	194.94335174560547	0.8769545555114746	165.60751724243164	161.2184600830078	237.57378387451172	194.35836791992188	0	0	0	0	0	0.8823856115341187	157.8019676208496	162.5628662109375	241.58631134033203	194.129150390625	0	0	0	0	0	0	0	0	0	0	0.8857368230819702	155.79205322265625	159.46316528320312	242.26922607421875	189.97003173828125	0	0	0	0	0	0.8891826868057251	164.1144561767578	165.1739044189453	239.87924194335935	184.83187866210935	0.8760069012641907	160.6328125	163.40280151367188	240.3431396484375	190.24969482421875	0.8779534101486206	165.80006408691406	162.26376724243164	240.13247680664065	187.59166717529297	0.8725956082344055	159.3094024658203	162.36817932128906	241.10519409179688	188.74856567382812	0.8803648948669434	165.09170532226562	161.29891967773438	245.45709228515625	193.555419921875	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.17334855	0.3402932	0.15064256	0.37988263	0.13269062	0.40442276	0.10671337	0.3327105	2008
2BE0D403-7597-6A3E-E053-CA2BA8C0618D	90.0306	180.0612	2	343.53104	North	186887.33662523027	681652.5508705245	186887.22	681652.53	12.679999999993017	11.020000000018626	0.66420704	0.8580702	0.6770036	0.66420704	0.9294144	T	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	3	0.99863213	1	0.9999974	0.99999917	1	0.9971342	0.99999917	0.99999917	1	0.99999917	0.99563086	0.99999917	1	0.9999974	0.9999974	0.9941311	1	1	0.99999917	1	0.9926295	0.99999917	0.99999917	1	0.99999917	0.8527012467384338	162.4979248046875	162.84677505493164	209.2745361328125	191.19957733154297	0	0	0	0	0	0	0	0	0	0	0.8587918281555176	156.7942771911621	156.93995666503906	207.6890335083008	196.65560913085935	0.8361362218856812	159.92555236816406	164.1351318359375	216.74710083007812	188.378662109375	0	0	0	0	0	0.845084011554718	158.1914825439453	165.04852294921875	217.7476501464844	205.5126953125	0	0	0	0	0	0	0	0	0	0	0.8647213578224182	160.4287567138672	162.85949325561523	205.65921020507812	194.19178009033203	0	0	0	0	0	0.8806057572364807	154.7880859375	159.98486328125	214.5330810546875	181.26736450195312	0.8501238226890564	162.05499267578125	164.99664306640625	209.41241455078125	192.8758544921875	0.8547247648239136	161.85194396972656	162.14369201660156	214.20895385742188	182.50241088867188	0.8802724480628967	160.65073013305664	162.07709121704102	206.39720916748047	183.97557830810547	0.8522346615791321	158.99185180664062	159.8457489013672	219.77374267578125	196.98013305664065	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.2380701	0.4754568	0.17195103	0.51849777	0.14981675	0.46630663	0.11947624	0.38446346	2008
2BE0D403-7598-6A3E-E053-CA2BA8C0618D	103.80024	207.60048	2	160.35475	South	186865.9191890222	681717.9161267853	186866.025	681718.19	13.330000000016298	12.480000000097789	0.6733354	0.866208	0.61834	0.6733354	0.95114565	L	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	3	0	0.000108233784	0.27694318	0.66285074	1	0.11992781	0.29422238	0.63203275	0.84394974	0.9999974	0.2701754	0.6527866	0.99476075	0.9980555	0.999999	0.28542045	0.67133117	1	1	1	0.50241804	0.7800902	0.9999974	1	0.999999	0.8539528846740723	157.9932861328125	158.5974082946777	214.3184814453125	198.93970489501953	0	0	0	0	0	0	0	0	0	0	0.8443360924720764	159.01339721679688	158.61993408203125	212.80291748046875	196.0703125	0.8565044403076172	162.52952575683594	161.5731964111328	210.32504272460935	200.8319396972656	0	0	0	0	0	0.8650705218315125	159.6963653564453	162.8121337890625	214.74270629882812	202.53424072265625	0	0	0	0	0	0	0	0	0	0	0.8803909420967102	153.92735290527344	164.147705078125	222.7411193847656	199.77734375	0	0	0	0	0	0.8737309575080872	159.38095092773438	161.94363021850586	212.74847412109375	197.90985870361328	0.856314480304718	157.98753356933594	162.53228759765625	219.00045776367188	202.64544677734375	0.8435894846916199	162.6615867614746	160.7333984375	210.74835968017575	202.71795654296875	0.8836193084716797	156.0385284423828	161.52342224121094	217.4913024902344	200.74777221679688	0.8651490211486816	160.06956481933594	161.56886291503906	219.51480102539065	201.83139038085935	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.22595166	0.45552528	0.18039882	0.5402628	0.14921159	0.48113278	0.120745115	0.3907142	2008
2BE0D403-7599-6A3E-E053-CA2BA8C0618D	88.53105	177.0621	2	251.19263	West	186900.41523774137	681709.8677076002	186900.51	681710.07	11.179999999993017	13	0.70665735	0.9070465	0.69413346	0.70665735	0.9532064	Rectangular	residential buildings	multi-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	5	0.3030949	0.649338	0.994862	0.9999995	0.9999995	0.8160958	0.9103106	0.9999995	0.9999995	0.9999995	0.99429333	0.9999995	0.9999995	1	0.9999995	0.9964918	0.99999756	1	0.9999995	0.9999995	0.8858267	0.9501856	0.9999995	1	1	0.8487269282341003	160.57363891601562	160.2349090576172	194.0078125	210.23507690429688	0	0	0	0	0	0	0	0	0	0	0.8594734072685242	156.9581756591797	160.10650634765625	187.65512084960935	216.60943603515625	0.8619542121887207	166.13015365600586	160.1279754638672	200.1392288208008	207.5233459472656	0	0	0	0	0	0.8464821577072144	158.8179588317871	163.69882202148438	187.60578155517575	223.3917236328125	0	0	0	0	0	0	0	0	0	0	0.852047324180603	158.64569091796875	162.6021270751953	195.1285400390625	210.25357055664065	0	0	0	0	0	0.8555096983909607	158.82342910766602	160.5179901123047	190.17790985107425	208.38357543945312	0.8672101497650146	161.71726989746094	164.42044067382812	193.2132873535156	215.40557861328125	0.8645218014717102	169.61058044433594	159.02850341796875	200.15200805664065	195.07452392578125	0.8556009531021118	168.28079223632812	163.64963150024414	190.73931884765625	194.76976776123047	0.8606469631195068	164.6961669921875	159.12811279296875	201.6234130859375	213.58441162109375	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.23499353	0.49527952	0.18222818	0.55103403	0.15357278	0.50278556	0.12197633	0.39842343	2008
2BE0D403-759A-6A3E-E053-CA2BA8C0618D	125.363106	250.72621	2	160.12265	South	186843.6342855701	681709.7827642964	186843.29	681709.965	16.04000000000815	12.949999999953434	0.66608834	0.84064096	0.75512093	0.66608834	0.92407465	L	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	6	0.9575842	1	0.99999976	1	0.99999976	0.96366847	0.99999976	0.99999976	1	0.99999976	0.96974623	1	0.99999976	0.99999845	0.99999976	0.9758292	0.99999845	1	0.99999976	1	0.98191464	0.9999972	1	0.99999976	0.99999845	0.8479650616645813	160.3241844177246	159.8658905029297	222.84082794189453	182.5777282714844	0	0	0	0	0	0	0	0	0	0	0.8299823999404907	154.10281372070312	153.6731414794922	221.77679443359375	180.65670776367188	0.8768829703330994	161.59890747070312	159.19723510742188	219.5872802734375	181.58929443359375	0	0	0	0	0	0.8082980513572693	154.50045776367188	158.62878799438477	222.58428955078125	186.32573699951172	0	0	0	0	0	0	0	0	0	0	0.8366177678108215	152.95643615722656	159.5621795654297	228.66732788085935	181.98989868164065	0	0	0	0	0	0.8579742312431335	154.9816436767578	159.7486572265625	216.51681518554688	177.08209228515625	0.8750346302986145	157.3162078857422	164.83184814453125	222.46975708007812	192.1761474609375	0.8792657852172852	162.84645080566406	159.0244598388672	221.29708862304688	184.29147338867188	0.8467776775360107	160.2039031982422	159.4806671142578	227.7523498535156	183.0033264160156	0.8730754256248474	156.21990966796875	160.1827049255371	223.6705322265625	185.81909942626953	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.23108973	0.4591288	0.17189534	0.48678672	0.14684859	0.47046095	0.11929969	0.38720056	2008
2BE0D403-759B-6A3E-E053-CA2BA8C0618D	115.01094	230.02188	2	162.58669	South	186924.9082741691	681702.792895706	186924.905	681702.815	13.830000000016298	13.150000000023285	0.7231184	0.91452235	0.85010594	0.7231184	0.9568223	Rectangular	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	5	0.96954405	0.99725777	0.99594283	0.99462944	0.99331295	0.97472644	0.9999999	0.9999999	0.9999999	0.9999999	0.9782405	0.9999984	0.9999984	0.9999984	1	0.98175305	0.9999984	0.9999999	0.9999999	0.9999999	0.9852702	1	0.9999984	1	1	0.8528496026992798	161.45993041992188	162.87527084350586	220.65411376953125	203.3574905395508	0	0	0	0	0	0	0	0	0	0	0.8665114641189575	152.17364501953125	161.1962127685547	216.096435546875	206.66165161132812	0.8865536451339722	161.0096435546875	160.7983055114746	221.364990234375	197.18647003173828	0	0	0	0	0	0.8460963368415833	160.54637145996094	163.4262237548828	208.2084045410156	205.31399536132812	0	0	0	0	0	0	0	0	0	0	0.879013180732727	159.16034317016602	158.47467041015625	214.78588104248047	210.76190185546875	0	0	0	0	0	0.8520410060882568	153.7041473388672	164.4723358154297	217.6744079589844	200.07107543945312	0.8642773628234863	155.55435180664062	162.66409301757812	214.93707275390625	197.90625	0.8669933676719666	165.98525619506836	157.72051620483398	227.42749786376953	202.67798614501953	0.8837136030197144	160.5142822265625	156.9069061279297	216.88763427734375	207.07925415039065	0.8519793152809143	160.03064346313477	159.26869201660156	212.80150604248047	204.61398315429688	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.25211605	0.5525728	0.18320219	0.5531876	0.1573291	0.5127196	0.12407641	0.4089638	2008
2BE0D403-7304-6A3E-E053-CA2BA8C0618D	99.536964	298.6109	3	310.63843	NorthWest	186761.68243285103	683329.3605916086	186762.14	683329.65	15.31999999997788	15.5	0.5609937	0.8730444	0.44396198	0.5609937	0.9202093	H	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	5	0.99149674	0.99976945	0.99965066	0.99937797	0.99886775	0.9929137	1	1	0.9999986	0.9999986	0.9941283	1	1	1	1	0.99533445	1	1	1	1	0.9965457	1	0.9999986	0.9999986	0.9999986	0.8358333110809326	158.75946426391602	162.77038192749023	217.36016082763672	225.4180374145508	0	0	0	0	0	0	0	0	0	0	0.7945243716239929	154.43249130249023	160.88759994506836	225.59070587158203	222.6807327270508	0.8301796913146973	157.16868591308594	161.4028282165527	213.2972717285156	219.38452911376953	0	0	0	0	0	0.8392403721809387	155.8762664794922	162.66189575195312	214.98989868164065	224.55682373046875	0	0	0	0	0	0	0	0	0	0	0.8213269710540771	155.1302947998047	160.5332374572754	216.5303649902344	224.53533172607425	0	0	0	0	0	0.8482096195220947	160.5863494873047	160.4822235107422	214.0262756347656	221.71548461914065	0.8184612393379211	157.19656372070312	162.18072128295898	215.16961669921875	226.05207061767575	0.843862771987915	158.1464881896973	163.05970764160156	215.03636932373047	219.58419799804688	0.818488359451294	160.11834335327148	160.3679962158203	213.88501739501953	220.4984436035156	0.8619788289070129	158.40899658203125	157.14686584472656	215.995361328125	223.06735229492188	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.21515284	0.61070615	0.09556723	0.2707032	0.054090276	0.14826053	0.050874658	0.16619185	2008
2BE0D403-847B-6A3E-E053-CA2BA8C0618D	113.771	227.542	2	207.51126	SouthWest	189694.36493496745	675738.7712622371	189694.375	675738.775	16.349999999976717	13.68999999994412	0.72068095	0.995614	0.55226016	0.72068095	1	Rectangular	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Świnoujście	104126	Urban	36769	4	0.9985538	0.9999993	1	1	0.9999993	0.9967361	0.9999993	0.9999993	1	1	0.99492013	1	0.9999993	1	0.9999993	0.99310076	0.9999993	1	0.9999976	1	0.9912848	1	1	1	0.9999976	0.8194271922111511	158.49107360839844	160.0144500732422	235.58425903320312	196.07241821289065	0	0	0	0	0	0	0	0	0	0	0.7969134449958801	160.99774169921875	160.739990234375	232.00628662109375	184.97039794921875	0.8543431162834167	155.6505584716797	161.77679443359375	226.01528930664065	202.05450439453125	0	0	0	0	0	0.761123538017273	165.04763412475586	159.81288146972656	223.10395050048828	199.67379760742188	0	0	0	0	0	0	0	0	0	0	0.8362680077552795	163.59076309204102	165.80435180664062	230.47289276123047	198.91796875	0	0	0	0	0	0.8725982308387756	162.81076049804688	162.7138328552246	226.98333740234375	202.60871124267575	0.8581448793411255	157.23516845703125	157.24009704589844	231.8118896484375	194.62310791015625	0.8572383522987366	165.07215881347656	157.85980606079102	234.78042602539065	198.29692840576172	0.8763699531555176	162.0618896484375	160.24892807006836	227.46209716796875	206.01654815673828	0.8491967916488647	161.22683334350586	159.8551788330078	226.64197540283203	198.6641540527344	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.002234979	0.00314034	0.00095205964	0.0015717146	0.0015597324	0.0025309417	0.0017240962	0.0029322542	2008
2BE0D403-847C-6A3E-E053-CA2BA8C0618D	62.475945	124.95189	2	59.146824	NorthEast	191221.4855781284	675715.7167052537	191221.245	675715.605	9.970000000001164	11.949999999953434	0.58929896	0.8652881	0.7279773	0.58929896	0.91824865	L	residential buildings	single-family building	in use	True	True	zachodniopomorskie	m. Świnoujście	104106	M. Świnoujście	Karsibór	104114	Urban	713	1	0.003206983	0.64138603	0.99532706	0.74722177	0.37886515	0.012503007	0.6540291	0.99999756	0.93936074	0.84794056	0.02393614	0.6654648	1	1	0.99999756	0.4039187	0.8060226	0.99999756	1	0.99999756	0.92248046	0.9830407	1	1	1	0.8239399194717407	166.58175659179688	164.2648162841797	181.61553955078125	208.00711059570312	0	0	0	0	0	0	0	0	0	0	0.8370715379714966	149.9804344177246	162.11431884765625	187.95923614501953	211.94976806640625	0.8425439596176147	161.97486877441406	160.14852905273438	182.88034057617188	213.33837890625	0	0	0	0	0	0.8419483304023743	156.4225311279297	161.9530487060547	188.07449340820312	214.7660217285156	0	0	0	0	0	0	0	0	0	0	0.8335269093513489	154.73080444335938	163.01629257202148	181.109375	210.21765899658203	0	0	0	0	0	0.842603325843811	160.16539001464844	166.2862548828125	177.85263061523438	203.44537353515625	0.835252583026886	163.33022689819336	162.25045776367188	181.1016311645508	214.26116943359375	0.8400962352752686	163.3628692626953	163.7358360290527	181.92507934570312	203.12793731689453	0.8370875716209412	156.65319442749023	162.05210876464844	188.15760040283203	211.22103881835935	0.8337548971176147	162.2615966796875	162.8420867919922	185.404052734375	211.6006774902344	0	0	0	0	0	0	0	0	0	0	40830	40770	41480	41520	41510	41370	41280	41150	41120	41030	40910	40890	40330	39830	39370	38900	0	0	0.039147764	0.06468045	0.02507355	0.043620657	0.016758703	0.029213486	0.008568397	0.014873929	2008
